Padin, X.A.	Padín, X.A.
Padín, X. A.	Padín, X.A.
Padin, X. A.	Padín, X.A.
Pad�n, J.A.	Padín, X.A.
Park,G.-H.	Park, G.-H.
Perez, F.F.	Pérez, F.F.
Pierrot,D.	Pierrot, D.
Pierrot D.	Pierrot, D.
Rehder,G.	Rehder, G.
Rehder, G., Glockzin, M.	Rehder, G.; Glockzin, M.
Rios, A.F.	Ríos, A.F.
Rodriquez, J. M.	Morell, J.
Rodriquez, J.M.	Morell, J.
Rutgerson, A.	Rutgersson, A.
S.Nakaoka	Nakaoka, S.
Sabin, C.	Sabine, C.
Sabine C.	Sabine, C.
Saito,S.	Saito, S.
Sakurai,K.	Sakurai, K.
Schuster, U., Watson, A.J.	Schuster, U.; Watson, A.J.
Send, Uwe.	Send, U.
Skjelvan I.	Skjelvan, I.
Solveig Rosa Olafsdottir, Alice Benoit-Cattin-Breton	Ólafsdóttir, S.R.; Benoit-Cattin-Breton, A.
Steven van Heuven	van Heuven, S.
Suqing Xu	Xu, S.
Sue Hartmann	Hartman, S.E.
Susan E. Hartman	Hartman, S.E.
Sutherland,S.C.	Sutherland, S.C.
Sutherland, S.	Sutherland, S.C.
Sutherland, S. C.	Sutherland, S.C.
Sutherland, S. C. : Newberger, T. : Takahashi, T.	Sutherland, S.C.; Newberger, T.; Takahashi, T.
Sutherland, S.C. : Newberger, T. : Takahashi, T. : Sweeney, C.	Sutherland, S.C.; Newberger, T.; Takahashi, T.; Sweeney, C.
Sutton,A.	Sutton, A.
Sutton A.	Sutton, A.
Sutton, A 	Sutton, A.
Sutton, A., C. Sabine, B. Hales, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; Hales, B.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, C. Dietrich, S. Maenner, S. Musielewicz, R. Bott, and J.	Sutton, A.; Sabine, C.; Dietrich, C.; Maenner, S.; Musielewicz, S.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, C. Dietrich, S. Maenner, S. Musielewicz, R. Bott, and J. Osborne.	Sutton, A.; Sabine, C.; Dietrich, C.; Maenner, S.; Musielewicz, S.; Bott, R.; Osborne, J.
